line,OE,ME
84,þæt se ecghete             áþumswéoran,"that the furious edge-malice             of        son-in-law and father-in-law,"
85,æfter wælníðe             wæcnan scolde.,arising from deadly enmity             would inevitably awaken.
86,Ðá se ellengaést             earfoðlíce,"Then the bold        spirit,      impatiently"
87,þráge geþolode             sé þe in þýstrum bád,"endured dreary time,             he who dwelt in darkness,"
88,þæt hé dógora gehwám             dréam gehýrde,he that every day             heard noise of revelry
89,hlúdne in healle·             þaér wæs hearpan swég,"loud in the hall;             there was the harmony of the harp,"
90,swutol sang scopes·             sægde sé þe cúþe,the sweet song of the poet;             he spoke who knew how
91,frumsceaft fíra             feorran reccan·,the        origin of men      to narrate from afar;
92,cwæð þæt se ælmihtiga             eorðan worhte,"said he that the almighty one             wrought the earth,"
93,wlitebeorhtne wang             swá wæter bebúgeð·,"(that) fair, sublime field             bounded by water;"
94,gesette sigehréþig             sunnan ond mónan,"set up triumphant      the sun and        moon,"
95,léoman tó léohte             land-búendum,luminaries as lamps             for the land-dwellers
96,ond gefrætwade             foldan scéatas,and adorned             the corners of the earth
97,leomum ond léafum·             líf éac gesceóp,with limbs and leaves;             life too He formed
98,cynna gehwylcum             þára ðe cwice hwyrfaþ·,for each of the species             which lives and moves.
99,Swá ðá drihtguman             dréamum lifdon,"So the lord's men             lived in joys,"
100,éadiglice      oð        ðæt án ongan,"happily,      until        one began"
101,fyrene fremman             féond on helle·,"to execute atrocities,             a fiend in hell;"
102,wæs se grimma gaést             Grendel háten,"this ghastly demon was             named Grendel,"
103,maére mearcstapa             sé þe móras héold,"infamous stalker in the marches,             he who held the moors,"
104,fen ond fæsten·             fífelcynnes eard,"fen and desolate strong-hold;             the land of marsh-monsters,"
105,wonsaélí wer             weardode hwíle,the wretched creature             ruled for a time
106,siþðan him scyppend             forscrifen hæfde,since him the Creator             had condemned
107,in Caines cynne             þone cwealm gewræc,with the kin        of Cain;      that killing avenged
108,éce drihten             þæs þe hé Ábel slóg·,"the eternal Lord,             in which he slew Abel;"
109,ne gefeah hé þaére faéhðe             ac hé hine feor forwræc,"this feud he did not enjoy,             for He drove him far away,"
110,metod for þý máne             mancynne fram·,"the Ruler, for this crime,             from mankind;"
111,þanon untýdras             ealle onwócon,thence unspeakable offspring             all awoke:
112,eotenas ond ylfe             ond orcnéäs,ogres and elves             and spirits from the underworld;
113,swylce gígantas             þá wið gode wunnon,"also giants,             who strove with God"
114,lange þráge·             hé him ðæs léan forgeald.,for an interminable season;             He gave them their reward for that.
115,Gewát ðá néosian             syþðan niht becóm,He then went to visit and see              when night came 
116,héän húses·             hú hit Hring-Dene,"the high house             how it, the Ring-Danes"
117,æfter béorþege             gebún hæfdon·,"after the beer-feast,             had occupied;"
118,fand þá ðaér inne             æþelinga gedriht,he found then therein             the nobles' company
119,swefan æfter symble·             sorge ne cúðon,"slumbering after the feast;             they did not know sorrow,"
120,wonsceaft wera·             wiht unhaélo,"misery of men;             that damned creature,"
121,grim ond graédig             gearo sóna wæs,"grim and greedy,             soon was ready,"
122,réoc ond réþe             ond on ræste genam,savage and cruel             and from their rest seized
123,þrítig þegna·             þanon eft gewát,thirty thanes;             thence back he went
124,húðe hrémig      tó        hám faran,"proud in plunder             to his home, faring"
125,mid þaére wælfylle             wíca néosan.,with the banquet of bodies             to seek his shelter.
126,Ðá wæs on úhtan             mid aérdæge,Then was in the dark of dawn             before the day
127,Grendles gúðcræft             gumum undyrne·,Grendel's war-might             revealed to the men;
128,þá wæs æfter wiste             wóp up áhafen,then it was after their feasting             they raised up lament
129,micel morgenswég.             Maére þéoden,"in a great morning-cry.             The mighty chieftain,"
130,æþeling aérgod             unblíðe sæt·,"the prince, old and good,             sat in sorrow,"
131,þolode ðrýðswýð             þegnsorge dréah,"The great mighty one suffered,             anguish of thane-loss   oppressed him"
132,"syðþan híe þæs láðan             lást scéawedon,","when they the foe's             tracks beheld,"
133,wergan gástes·             wæs þæt gewin tó strang,"of the wicked ghoul;             that strife was too strong,"
134,láð ond longsum.             Næs hit lengra fyrst,loathsome and lingering.             Nor was it a longer time
135,ac ymb áne niht             eft gefremede,but after a single night             again he perpetuated
136,"morðbeala máre             ond nó mearn fore,","more brutal slaughter,             and it grieved him not,"
137,faéhðe ond fyrene·             wæs tó fæst on þám.,"violence and viciousness,             he was too entrenched in these."
138,Þá wæs éaðfynde             þé him elles hwaér,"Then was it easily found,             one who would somewhere else,"
139,gerúmlícor             ræste sóhte,"further away,             seek rest:"
140,bed æfter búrum             ðá him gebéacnod wæs,"a bed among the bowers,             when it was made clear to him,"
141,gesægd sóðlíce             sweotolan tácne,"truly told,      by        an unmistakable token"
142,healðegnes hete·             héold hyne syðþan,the enmity of the hall's occupier;             he held himself then
143,fyr ond fæstor             sé þaém féonde ætwand.,"further and safer,             he who shunned that fiend."
144,Swá ríxode      ond        wið rihte wan,"Thus he ruled             and challenged justice,"
145,ána wið eallum             oð þæt ídel stód,"one against all,             until empty stood"
146,"húsa sélest·             wæs séo hwíl micel,",that finest of houses;             the time was long
147,twelf wintra tíd             torn geþolode, the space of twelve winters              that bitter anguish endured
148,"wine Scyldenda,             wéana gehwelcne","the        friend, the shielder,       every woe,   "
149,sídra sorga·             forðám secgum wearð,immense miseries;             therefore to men became
150,"ylda bearnum             undyrne cúð,","to sons of men,             clearly known"
151,gyddum geómore             þætte Grendel wan,"in mournful ballads,             that Grendel had contended"
152,hwíle wið Hróþgár·             heteníðas wæg,"long against Hrothgar,             sustained fierce enmity,"
153,"fyrene ond faéhðe             fela misséra,","felony and feud,             for many seasons"
154,singále sæce·             sibbe ne wolde,continual strife;             he did not want peace
155,"wið manna hwone             mægenes Deniga,","with any man             of the Danish contingent,"
156,"feorhbealo feorran,             féa þingian","to desist in life-destruction,             to settle it with payment,"
157,né þaér naénig witena             wénan þorfte,none of the counsellors             had any need to hope for
158,beorhtre bóte             tó banan folmum,"noble recompense             from the slayer's hands,"
159,ac se aéglaéca             éhtende wæs,but the wretch             was persecuting
160,deorc déaþscua             duguþe ond geogoþe, the dark death-shade              warriors old and young;
161,seomade ond syrede·             sinnihte héold,"he lay in wait and set snares,             in the endless night he held"
162,mistige móras·             men ne cunnon,the misty moors;             men do not know
163,hwyder helrúnan             hwyrftum scríþað.,where such hellish enigmas      slink in their        haunts.
164,Swá fela fyrena             féond mancynnes,"Thus many offences             that foe of mankind,"
165,"atol ángengea             oft gefremede,","that terrible lone traveller,             often committed,"
166,heardra hýnða·             Heorot eardode,"hard humiliations;             he dwelt in Heorot,"
167,sincfáge sel             sweartum nihtum,"the richly-adorned hall,             in the black nights"
168," nó hé þone gifstól             grétan móste,"," by        no means he the gift-throne      was compelled to        approach respectfully,"
169,"máþðum for metode,             né his myne wisse ","the        treasure, by the Maker,      nor did he feel love for        it "
170,"Þæt wæs wraéc micel             wine Scyldinga,","That was great misery             for the Friend of the Scyldings,"
171,módes brecða.             Monig oft gesæt,a breaking of his spirit.             Many often sat
172,ríce tó rúne·             raéd eahtedon·,"the mighty at counsel;             pondered a plan,"
173,hwæt swíðferhðum             sélest waére,"what by strong-minded men      would be best,"
174,wið faérgryrum             tó gefremmanne·,"against the sudden horror,             to do;"
175,hwílum híe gehéton             æt hærgtrafum,sometimes they pledged             at holy temples
176,wígweorþunga·             wordum baédon,"sacred honouring,             in words bid"
177,þæt him gástbona             géoce gefremede,that them the demon-slayer      would offer succour
178,wið þéodþréaum·             swylc wæs þéaw hyra·,from the plight of the people;             such was their habit:
179,haéþenra hyht·             helle gemundon,the hope of heathens;             on hell they pondered
180,in módsefan·             metod híe ne cúþon,"in the depths of their hearts;             the Creator they did not know,"
181,daéda démend·             ne wiston híe drihten god,"the Judge of deeds,             they were not aware of the Lord God,"
182,né híe húru heofena helm             herian ne cúþon,"nor yet they the Helm of the Heavens      were able to        honour,"
183,wuldres waldend.             Wá bið þaém ðe sceal,"Glory's Wielder.             Woe be to him who must,"
184,þurh slíðne níð             sáwle bescúfan,"through dire terror,             thrust his soul"
185,"in fýres fæþm,             frófre ne wénan,","into fire's embrace;             hope not for relief,"
186,wihte gewendan·             wél bið þaém þe mót,or to change at all;             well be he who may
187,æfter déaðdæge             drihten sécean,after death-day             seek the Lord
188,ond tó fæder fæþmum             freoðo wilnian.,and in his Father's arms             yearn towards Nirvana.
189,Swá ðá maélceare             maga Healfdenes,So then over the sorrow of the time             the son of Half-Dane
190,singála séað·             ne mihte snotor hæleð,continually brooded;             the wise hero could not
191,wéan onwendan·             wæs þæt gewin tó swýð,"turn away woe;             that strife was too strong,"
192,"láþ ond longsum             þe on ðá léode becóm,","hateful and enduring,             that on the people came"
193,nýdwracu níþgrim             nihtbealwa maést.,"fearfully cruel, violent trouble,             the greatest night-evil. "
194,  Þæt        fram hám gefrægn      Higeláces þegn,"That from        home heard      Hygelac's thane,"
195,"gód mid Géatum,             Grendles daéda·","a good man of the Geats,      of Grendel's        deeds;"
196,sé wæs moncynnes             mægenes strengest,"he was of mankind             of the greatest strength,"
197,on þaém dæge             þysses lífes,"on that day      in        this life,"
198,æþele ond éacen·             hét him ýðlidan,noble and mighty;             he ordered them a wave-crosser
199,gódne gegyrwan·             cwæð: hé gúðcyning, a good one  prepare;             he said: the war-king
200,ofer swanráde             sécean wolde,"over swan-road      he wished to        seek,"
201,maérne þéoden             þá him wæs manna þearf·,"that mighty clan-chief,             since he was in need of men;"
202,ðone síðfæt him             snotere ceorlas,"that adventure him,             the clear-headed chaps,"
203,lýt hwón lógon             þéah hé him léof waére,"very        little begrudged      though he was dear to        them,"
204,hwetton higerófne·             haél scéawedon.,"they urged on the valiant-hearted one,             and observed the omens."
205,Hæfde se góda             Géata léoda,"The worthy one had,             from the Geatish peoples,"
206,cempan gecorone             þára þe hé cénoste,"chosen champions,             those who were the boldest he"
207,findan mihte·             fíftýna sum,"could find;             fifteen together,"
208,sundwudu sóhte·             secg wísade,"they sought the sea-wood,      he led the        warriors,"
209,lagucræftig mon             landgemyrcu.,"that sea-skilled man,             to the boundary of the shore."
210,Fyrst forð gewát·             flota wæs on ýðum,"Time passed by;             the ship was on the waves,"
211,bát under beorge·             beornas gearwe,the boat under the cliffs;             the ready warriors
212,"on stefn stigon              stréamas wundon,","stepped up into the prow              the currents curled round,"
213,sund wið sande              secgas baéron,sea against sand              the men bore
214,on bearm nacan             beorhte frætwe,"into the bosom of boat             bright arms and armour,"
215,gúðsearo geatolíc·             guman út scufon,"noble war-gear;             the fellows shoved off,"
216,weras on wilsíð             wudu bundenne.,"men on a welcome voyage,             in a well-braced ship."
217,Gewát þá ofer waégholm             winde gefýsed,"Then they went over the water-waves             urged by the wind,"
218,flota fámíheals             fugle gelícost,"the foamy-necked floater,      remarkably        bird-like"
219,oð þæt ymb ántid             óþres dógores,"until in due time,             on the second day,"
220,wundenstefna             gewaden hæfde,"the curved-prow             had made the journey,"
221,"þæt ða líðende             land gesáwon,","so that the sailors             sighted land,"
222,"brimclifu blícan,             beorgas stéape","bright sea-cliffs,             towering shores,"
223,side saénæssas·             þá wæs sund liden,"wide headlands;             then was the sea traversed,"
224,éoletes æt ende.             Þanon up hraðe,their sea-voyage at an end.             Thence up quickly
225,Wedera léode             on wang stigon·,the Wederas-warriors      stepped onto        land;
226,saéwudu saéldon·             syrcan hrysedon,moored their vessel;             their mail-shirts clanked
227,gúðgewaédo·             gode þancedon,those war-garments;             they thanked God
228,þæs þe him ýþláde             éaðe wurdon.,that for them the wave-paths             had been smooth.
229,Þá of wealle geseah             weard Scildinga,"Then from the wall saw             the ward of the Scyldings,"
230,sé þe holmclifu             healdan scolde·,"he who the sea-cliffs             had the duty to guard,"
231,beran ofer bolcan             beorhte randas,"borne over the gang-plank,             bright bossed-shields,"
232,fyrdsearu fúslicu·             hine fyrwyt bræc,eager war-devices;             in him curiosity broke
233,módgehygdum             hwæt þá men waéron·,the thoughts of his heart:             what these men were;
234,gewát him þá tó waroðe             wicge rídan,"then he went to the shore             riding his horse,"
235,þegn Hróðgáres·             þrymmum cwehte,the thane of Hrothgar;             he forcefully shook
236,mægenwudu mundum·             meþelwordum frægn:,"his mighty wooden shaft,      and with formal words        asked:"
237,'Hwæt syndon gé             searohæbbendra,'What are you             armour-wearers
238,byrnum werede             þe þus brontne céol,"bound in byrnies,             who thus your tall        keel"
239,ofer lagustraéte             laédan cwómon,"over the sea-street      leading came,"
240,hider ofer holmas?'  ,hither over the waters?'
241,Hé wæs endesaéta·             aégwearde héold,"He was the coast-guardian,             he held the sea-watch,"
242,þé on land Dena             láðra naénig,so that on Danish land             no enemies at all
243,mid scipherge             sceðþan ne meahte·,with a navy             would not be able to ravage.
244,'Nó hér cúðlícor             cuman ongunnon,'Not here more openly             began to come
245,lindhæbbende             né gé léafnesword,"lindenwood shield-bearers,             nor you the leave-word"
246,gúðfremmendra             gearwe ne wisson,of our war-makers             certainly don't know
247,mága gemédu·             naéfre ic máran geseah,our kinsmen's consent;             never have I seen greater
248,"eorla ofer eorþan             ðonne is éower sum,","noble on earth             than the one that you are,"
249,secg on searwum·             nis þæt seldguma,warrior in armour;             this is no mere retainer
250,"waépnum geweorðad·             næfne him his wlite léoge,","made worthy by weapons;             unless he is belied by his looks,"
251,aénlic ansýn!             Nú ic éower sceal,a unique appearance!             Now I must your
252,frumcyn witan             aér gé fyr heonan,"lineage learn,             ere you far hence,"
253,léasscéaweras             on land Dena,deceiving spies             in the land of the Danes
254,furþur féran·             Nú gé feorbúend,further fare;             now you far-dwellers
255,merelíðende             mínne gehýrað,"you sea-sailors,             hear my"
256,ánfealdne geþóht:             ofost is sélest,one-fold thought:             speed is best
257,tó gecýðanne             hwanan éowre cyme syndon.'  ,"for reporting,             whence your comings are.'"
258,Him se yldesta             andswarode·,"He the eldest             answered,"
259,werodes wísa             wordhord onléac:,"the crew's captain,             he unlocked his word-hoard:"
260,'Wé synt gumcynnes             Géata léode,'We are of the tribe             of the Geat people
261,ond Higeláces             heorðgenéatas·,and Hygelac's             hearth-companions;
262,wæs mín fæder             folcum gecýþed,"my father was             known to the folk,"
263,æþele ordfruma             Ecgþéow háten·,"a noble vanguard-warrior,             called Edgetheow,"
264,gebád wintra worn             aér hé on weg hwurfe,"who saw many winters             ere he passed away,"
265,gamol of geardum·             hine gearwe geman,"old, from our courtyards;             he is readily recalled"
266,witena wélhwylc             wíde geond eorþan.,by each one of the wise             widely throughout the world.
267,Wé þurh holdne hige             hláford þínne,"We, by resolute resolve,             your lord,"
268,sunu Healfdenes             sécean cwómon,"the son of Half-Dane             have come to seek,"
269,léodgebyrgean·             wes þú ús lárena gód·,that protector of the people;             be you a good guide to us;
270,habbað wé tó þaém maéran             micel aérende,"we have, to that grand one,             a great errand"
271,Deniga fréän·             ne sceal þaér dyrne sum,to the Danish lord;             there shouldn't some secret
272,wesan þæs ic wéne.             Þú wást gif hit is,"be of this, I think.             You know if it is"
273,swá wé sóþlíce             secgan hýrdon,"as we truly             have heard said,"
274,þæt mid Scyldingum             sceaðona ic nát hwylc,"that amongst the Scyldings,             some enemy, I know not what, "
275,déogol daédhata             deorcum nihtum,"a furtive despoiler,             in dark nights,"
276,éaweð þurh egsan             uncúðne níð,"sickeningly reveals             unknown enmity,"
277,hýnðu ond hráfyl.             Ic þæs Hróðgár mæg,"suffering and slaughter.             I can on this matter, to Hrothgar,"
278,þurh rúmne sefan             raéd gelaéran·,"from a spacious spirit,             give counsel,"
279,"hú hé fród ond gód,             féond oferswýðeþ ","how he, wise and good,             overcome the fiend "
280,gyf him edwendan             aéfre scolde,"if for him a change             ever should,"
281,bealuwa bisigu             bót eft cuman ,"from this suffering of miseries             to remedy, come after "
282,ond þá cearwylmas             cólran wurðaþ,and his hot wellings of melancholic        care      grow cooler;
283,oððe á syþðan             earfoðþráge,"or else ever after,             a time of torment,"
284,þréanýd þolað             þenden þaér wunað,"horrible hardship he will endure,             so long as there remains,"
285,on héahstede             húsa sélest.',"in its high place,             that        best of houses."
286,Weard maþelode             ðaér on wicge sæt,"The guard made a speech,             sitting there on his horse,"
287,ombeht unforht:             'AÉghwæþres sceal, the unhesistating officer:             'He will  every
288,scearp scyldwiga             gescád witan,sharp shield-warrior              know the distinction
289,worda ond worca             sé þe wél þenceð.,"between words and works,             he who reasons rightly."
290,Ic þæt gehýre·             þæt þis is hold weorod,"I hear it,             that this is a legion loyal"
291,fréan Scyldinga·             gewítaþ forð beran,to the lord of the Scyldings;             go forth bearing
292,waépen ond gewaédu·             ic éow wísige·,weapons and armour;             I shall guide you;
293,swylce ic maguþegnas             míne háte,"likewise, I  the kin-thanes             of mine will order,"
294,wið féonda gehwone             flotan éowerne,"against any foes             your vessel,"
295,níwtyrwydne             nacan on sande," newly tarred,             ship on the sand "
296,árum healdan             oþ ðæt eft byreð,"to guard in honour,             until it bears back,"
297,ofer lagustréamas             léofne mannan,"over the sea-streams,             the dear man,"
298,wudu wundenhals             tó Wedermearce·, the swoop-necked wood        to Wedermark;
299,gódfremmendra             swylcum gifeþe bið,those who perform noble deeds              to such as these it shall be granted
300,þæt þone hilderaés             hál gedígeð.',that the battle-rush             he survive in one piece.'
301,Gewiton him þá féran              flota stille bád·,"Then they went faring              the boat at rest awaited,"
302,seomode on sole             sidfaéþmed scip,"it rode on the sand             the broad-bosomed ship,"
303,on ancre fæst              eoforlíc scionon,on anchor fast              boar-figures shone
304,ofer hléorberan             gehroden golde·,atop        cheekguards      adorned with gold;
305,fáh ond fýrheard             ferhwearde héold·,glittering and fire-hard;             life-guard they held;
306,gúþmód grummon·             guman ónetton·,"war-spirits raised;             the men hastened,"
307,sigon ætsomne             oþ þæt hý sæltimbred,"marched forward together,             until they the timbered hall,"
308,geatolíc ond goldfáh             ongyton mihton·,"glorious and gold-trimmed,             were able to glimpse;"
309,þæt wæs foremaérost             foldbúendum,that was the foremost              for earth-dwellers 
310,receda under roderum             on þaém se ríca bád·,"of halls under the heavens,             in it the ruler dwelt;"
311,líxte se léoma             ofer landa fela.,its light glimmered             over many lands.
312,Him þá hildedéor             hof módigra,Then to them the fierce fellow      to that court of        great men
313,torht getaéhte             þæt híe him tó mihton,"glorious  he lead,             that they to it could"
314,gegnum gangan·             gúðbeorna sum,go directly;             the worthy warrior
315,wicg gewende·             word æfter cwæð:,"turned his horse,             thereupon spoke words:"
316,'Maél is mé tó féran.             Fæder alwalda,"'Time it is for me to go.             The Father all-ruling,"
317,mid árstafum             éowic gehealde,with grace      may        He hold you
318,síða gesunde!             Ic tó saé wille,"sound on your sojourns!             I will to the sea,"
319,wið wráð werod             wearde healdan.',against brutal dacoits             keep watch.'
320,Straét wæs stánfáh·             stíg wísode,"The street was paved with stones,             the path guided"
321,gumum ætgædere·             gúðbyrne scán,the men together;             war-byrnie shone
322,heard hondlocen             hringíren scír,"harsh, linked by hand,             ring-iron glittering,"
323,song in searwum·             þá híe tó sele furðum,"they sang in their arms,             as they to the hall straight"
324,in hyra gryregeatwum             gangan cwómon·,in their grim gear             came marching;
325,setton saéméþe             síde scyldas,"they set down, sea-weary,             their wide shields,"
326,rondas regnhearde             wið þæs recedes weal·,"the rims wondrous-hard             against the wall of the hall,"
327,bugon þá tó bence·             byrnan hringdon,and bent down then to a bench;             corslets rang 
328,gúðsearo gumena·             gáras stódon,"the war-clothes of warriors;             spears stood,"
329,saémanna searo             samod ætgædere,"seamen's weapons,             all together,"
330,æscholt ufan graég·             wæs se írenþréat,silvery above a grove of ash;             the iron-clad troop was
331,waépnum gewurþad·             þá ðaér wlonc hæleð,honoured in weapons;             then a proud noble
332,óretmecgas             æfter hæleþum frægn:,the elite soldiers             asked about the heroes:
333,'Hwanon ferigeað gé             faétte scyldas,"'Whence ferry you             plated shields,"
334,graége syrcan             ond grímhelmas,"steel-hued shirts of mail             and masked-helms,"
335,heresceafta héap?             Ic eom Hróðgáres,this host of army-shafts?             I am Hrothgar's
336,ár ond ombiht·             ne seah ic elþéodige,herald and officer;             I have not seen from a foreign land
337,þus manige men             módiglícran·,this many men             looking braver in spirit;
338,wén' ic þæt gé for wlenco             nalles for wraécsíðum,"I expect that you from valour,             not from exile,"
339,ac for higeþrymmum             Hróðgár sóhton.',but from greatness of heart             have sought out Hrothgar.'
340,Him þá ellenróf             andswarode,Then him the renowned one             answered
341,wlanc Wedera léod             word æfter spræc," that proud prince of the Wedera nation       spoke thereafter        words,"
342,heard under helme:             'Wé synt Higeláces,severe beneath his helmet:             'We are Hygelac's
343,béodgenéatas·             Béowulf is mín nama·,companions at table;             Beowulf  is my name;
344,wille ic ásecgan             sunu Healfdenes,"I wish to proclaim to             the son of Half-Dane,"
345,maérum þéodne             min aérende, that famed sovereign              my errand
346,aldre þínum             gif hé ús geunnan wile,"to your lord,             if he wishes to grant us"
347,þæt wé hine swá gódne             grétan móton.',"that we him, the virtuous one,             might greet.'"
348,Wulfgár maþelode              þæt wæs Wendla léod·,"Wulfgar began to speak              he was the Wendels' leader,"
349,wæs his módsefa             manegum gecýðed,"his courage was             well-known to many,"
350,wíg ond wísdóm :             'Ic þæs wine Deniga,"war-skill and wisdom :             'I this from friend of the Danes,"
351,fréan Scildinga             frínan wille,"lord of the Scyldings,             will inquire,"
352,béaga bryttan·             swá þú béna eart·,"from the giver of rings,              as you are petitioners "
