1 Hwæt! Wé Gárdena     in géardagum
138 Þá wæs éaðfynde     þé him elles hwaér
139 gerúmlícor     ræste sóhte
140 bed æfter búrum     ðá him gebéacnod wæs
141 gesægd sóðlíce     sweotolan tácne
142 healðegnes hete·     héold hyne syðþan
143 fyr ond fæstor     sé þaém féonde ætwand.
144 Swá ríxode     ond wið rihte wan
145 ána wið eallum     oð_þæt ídel stód
146 húsa sélest·     wæs séo hwíl micel,
147 twelf wintra tíd     torn geþolode
148 wine Scyldenda,     wéana gehwelcne
149 sídra sorga·     forðám secgum wearð
150 ylda bearnum     undyrne cúð,
151 gyddum geómore     þætte Grendel wan
152 hwíle wið Hróþgár·     heteníðas wæg
153 fyrene ond faéhðe     fela misséra,
154 singále sæce·     sibbe ne wolde
155 wið manna hwone     mægenes Deniga,
156 feorhbealo feorran,     féa þingian
157 né þaér naénig witena     wénan þorfte
158 beorhtre bóte     tó banan folmum
159 ac_se aéglaéca     éhtende wæs
160 deorc déaþscua     duguþe ond geogoþe
161 seomade ond syrede·     sinnihte héold
162 mistige móras·     men ne cunnon
163 hwyder helrúnan     hwyrftum scríþað.
164 Swá fela fyrena     féond mancynnes
165 atol ángengea     oft gefremede,
166 heardra hýnða·     Heorot eardode
167 sincfáge sel     sweartum nihtum
168 —nó hé þone gifstól     grétan móste,
169 máþðum for metode,     né his myne wisse—
170 Þæt wæs wraéc micel     wine Scyldinga,
171 módes brecða.     Monig oft gesæt
172 ríce tó rúne·     raéd eahtedon·
173 hwæt swíðferhðum     sélest waére
174 wið faérgryrum     tó gefremmanne·
175 hwílum híe gehéton     æt hærgtrafum
176 wígweorþunga·     wordum baédon
177 þæt him gástbona     géoce gefremede
178 wið þéodþréaum·     swylc wæs þéaw hyra·
179 haéþenra hyht·     helle gemundon
180 in módsefan·     metod híe ne cúþon
181 daéda démend·     ne wiston híe drihten god
182 né híe húru heofena helm     herian ne cúþon
183 wuldres waldend.     Wá bið þaém ðe sceal
184 þurh slíðne níð     sáwle bescúfan
185 in fýres fæþm,     frófre ne wénan,
186 wihte gewendan·     wél bið þaém þe mót
187 æfter déaðdæge     drihten sécean
188 ond tó fæder fæþmum     freoðo wilnian.
189 Swá ðá maélceare     maga Healfdenes
190 singála séað·     ne mihte snotor hæleð
191 wéan onwendan·     wæs þæt gewin tó swýð
192 láþ ond longsum     þe on ðá léode becóm,
193 nýdwracu níþgrim     nihtbealwa maést.
194 Þæt fram hám gefrægn     Higeláces þegn
195 gód mid Géatum,     Grendles daéda·
196 sé wæs moncynnes     mægenes strengest
197 on þaém dæge     þysses lífes
198 æþele ond éacen·     hét him ýðlidan
199 gódne gegyrwan·     cwæð: hé gúðcyning
200 ofer swanráde     sécean wolde
201 maérne þéoden     þá him wæs manna þearf·
202 ðone síðfæt him     snotere ceorlas
203 lýt_hwón lógon     þéah hé him léof waére
204 hwetton higerófne·     haél scéawedon.
205 Hæfde se góda     Géata léoda
206 cempan gecorone     þára þe hé cénoste
207 findan mihte·     fíftýna sum
208 sundwudu sóhte·     secg wísade
209 lagucræftig mon     landgemyrcu.
210 Fyrst forð gewát·     flota wæs on ýðum
211 bát under beorge·     beornas gearwe
212 on stefn stigon     —stréamas wundon,
213 sund wið sande—     secgas baéron
214 on bearm nacan     beorhte frætwe
215 gúðsearo geatolíc·     guman út scufon
216 weras on wilsíð     wudu bundenne.
217 Gewát þá ofer waégholm     winde gefýsed
218 flota fámíheals     fugle gelícost
219 oð_þæt ymb ántid     óþres dógores
220 wundenstefna     gewaden hæfde
221 þæt ða líðende     land gesáwon,
222 brimclifu blícan,     beorgas stéape
223 side saénæssas·     þá wæs sund liden
224 éoletes æt ende.     Þanon up hraðe
225 Wedera léode     on wang stigon·
226 saéwudu saéldon·     syrcan hrysedon
227 gúðgewaédo·     gode þancedon
228 þæs þe him ýþláde     éaðe wurdon.
229 Þá of wealle geseah     weard Scildinga
230 sé þe holmclifu     healdan scolde·
231 beran ofer bolcan     beorhte randas
232 fyrdsearu fúslicu·     hine fyrwyt bræc
233 módgehygdum     hwæt þá men waéron·
234 gewát him þá tó waroðe     wicge rídan
235 þegn Hróðgáres·     þrymmum cwehte
236 mægenwudu mundum·     meþelwordum frægn:
237 'Hwæt syndon gé     searohæbbendra
238 byrnum werede     þe þus brontne céol
239 ofer lagustraéte     laédan cwómon
240 hider ofer holmas?'
241 Hé @ @ wæs endesaéta·     aégwearde héold
242 þé on land Dena     láðra naénig
243 mid scipherge     sceðþan ne meahte·
244 'Nó hér cúðlícor     cuman ongunnon
245 lindhæbbende     né gé léafnesword
246 gúðfremmendra     gearwe ne wisson
247 mága gemédu·     naéfre ic máran geseah
248 eorla ofer eorþan     ðonne is éower sum,
249 secg on searwum·     nis þæt seldguma
250 waépnum geweorðad·     næfne him his wlite léoge,
251 aénlic ansýn!     Nú ic éower sceal
252 frumcyn witan     aér gé fyr heonan
253 léasscéaweras     on land Dena
254 furþur féran·     Nú gé feorbúend
255 merelíðende     mínne gehýrað
256 ánfealdne geþóht:     ofost is sélest
257 tó gecýðanne     hwanan éowre cyme syndon.'
258 Him se yldesta     andswarode·
259 werodes wísa     wordhord onléac:
260 'Wé synt gumcynnes     Géata léode
261 ond Higeláces     heorðgenéatas·
262 wæs mín fæder     folcum gecýþed
263 æþele ordfruma     Ecgþéow háten·
264 gebád wintra worn     aér hé on weg hwurfe
265 gamol of geardum·     hine gearwe geman
266 witena wélhwylc     wíde geond eorþan.
267 Wé þurh holdne hige     hláford þínne
268 sunu Healfdenes     sécean cwómon
269 léodgebyrgean·     wes þú ús lárena gód·
270 habbað wé tó þaém maéran     micel aérende
271 Deniga fréän·     ne sceal þaér dyrne sum
272 wesan þæs ic wéne.     Þú wást gif hit is
273 swá wé sóþlíce     secgan hýrdon
274 þæt mid Scyldingum     sceaðona ic nát hwylc
275 déogol daédhata     deorcum nihtum
276 éaweð þurh egsan     uncúðne níð
277 hýnðu ond hráfyl.     Ic þæs Hróðgár mæg
278 þurh rúmne sefan     raéd gelaéran·
279 hú hé fród ond gód,     féond oferswýðeþ—
280 gyf him edwendan     aéfre scolde
281 bealuwa bisigu     bót eft cuman—
282 ond þá cearwylmas     cólran wurðaþ
283 oððe á syþðan     earfoðþráge
284 þréanýd þolað     þenden þaér wunað
285 on héahstede     húsa sélest.'
286 Weard maþelode     ðaér on wicge sæt
287 ombeht unforht:     'AÉghwæþres sceal
288 scearp scyldwiga     gescád witan
289 worda ond worca     sé þe wél þenceð.
290 Ic þæt gehýre·     þæt þis is hold weorod
291 fréan Scyldinga·     gewítaþ forð beran
292 waépen ond gewaédu·     ic éow wísige·
293 swylce ic maguþegnas     míne háte
294 wið féonda gehwone     flotan éowerne
295 níwtyrwydne     nacan on sande
296 árum healdan     oþ_ðæt eft byreð
297 ofer lagustréamas     léofne mannan
298 wudu wundenhals     tó Wedermearce·
299 gódfremmendra     swylcum gifeþe bið
300 þæt þone hilderaés     hál gedígeð.'
301 Gewiton him þá féran     —flota stille bád·
302 seomode on sole     sidfaéþmed scip
303 on ancre fæst—     eoforlíc scionon
304 ofer hléorberan     gehroden golde·
305 fáh ond fýrheard     ferhwearde héold·
306 gúþmód grummon·     guman ónetton·
307 sigon ætsomne     oþ_þæt hý sæltimbred
308 geatolíc ond goldfáh     ongyton mihton·
309 þæt wæs foremaérost     foldbúendum
310 receda under roderum     on þaém se ríca bád·
311 líxte se léoma     ofer landa fela.
312 Him þá hildedéor     hof módigra
313 torht getaéhte     þæt híe him tó mihton
314 gegnum gangan·     gúðbeorna sum
315 wicg gewende·     word æfter cwæð:
316 'Maél is mé tó féran.     Fæder alwalda
317 mid árstafum     éowic gehealde
318 síða gesunde!     Ic tó saé wille
319 wið wráð werod     wearde healdan.'
320 Straét wæs stánfáh·     stíg wísode
321 gumum ætgædere·     gúðbyrne scán
322 heard hondlocen     hringíren scír
323 song in searwum·     þá híe tó sele furðum
324 in hyra gryregeatwum     gangan cwómon·
325 setton saéméþe     síde scyldas
326 rondas regnhearde     wið þæs recedes weal·
327 bugon þá tó bence·     byrnan hringdon
328 gúðsearo gumena·     gáras stódon
329 saémanna searo     samod ætgædere
330 æscholt ufan graég·     wæs se írenþréat
331 waépnum gewurþad·     þá ðaér wlonc hæleð
332 óretmecgas     æfter hæleþum frægn:
333 'Hwanon ferigeað gé     faétte scyldas
334 graége syrcan     ond grímhelmas
335 heresceafta héap?     Ic eom Hróðgáres
336 ár ond ombiht·     ne seah ic elþéodige
337 þus manige men     módiglícran·
338 wén' ic þæt gé for wlenco     nalles for wraécsíðum
339 ac for higeþrymmum     Hróðgár sóhton.'
340 Him þá ellenróf     andswarode
341 wlanc Wedera léod     word æfter spræc
342 heard under helme:     'Wé synt Higeláces
343 béodgenéatas·     Béowulf is mín nama·
344 wille ic ásecgan     sunu Healfdenes
345 maérum þéodne     min aérende
346 aldre þínum     gif hé ús geunnan wile
347 þæt wé hine swá gódne     grétan móton.'
348 Wulfgár maþelode     —þæt wæs Wendla léod·
349 wæs his módsefa     manegum gecýðed
350 wíg ond wísdóm—:     'Ic þæs wine Deniga
351 fréan Scildinga     frínan wille
352 béaga bryttan·     swá þú béna eart·
353 þéoden maérne     ymb þínne síð
354 ond þé þá andsware     aédre gecýðan
355 ðe mé se góda     ágifan þenceð.'
356 Hwearf þá hrædlíce     þaér Hróðgár sæt
357 eald ond anhár     mid his eorla gedriht·
358 éode ellenróf     þæt hé for eaxlum gestód
359 Deniga fréän:     cúþe hé duguðe þéaw·
360 Wulfgár maðelode     tó his winedrihtne:
361 'Hér syndon geferede     feorran cumene
362 ofer geofenes begang     Géata léode·
363 þone yldestan     óretmecgas
364 Béowulf nemnað·     hý bénan synt
365 þæt híe, þéoden min,     wið þé móton
366 wordum wrixlan·     nó ðú him wearne getéoh
367 ðínra gegncwida,     glædman Hróðgár·
368 hý on wíggetáwum     wyrðe þinceað
369 eorla geæhtlan·     húru se aldor déah
370 sé þaém heaðorincum     hider wísade.'
371 Hróðgár maþelode     helm Scyldinga:
372 'Ic hine cúðe     cnihtwesende·
373 wæs his ealdfæder     Ecgþéo háten
374 ðaém tó hám forgeaf     Hréþel Géata
375 ángan dohtor·     is his eaforan nú
376 heard hér cumen·     sóhte holdne wine.
377 Ðonne sægdon þæt     saélíþende
378 þá ðe gifsceattas     Géata fyredon
379 þyder tó þance·     þæt hé þrítiges
380 manna mægencræft     on his mundgripe
381 heaþoróf hæbbe·     hine hálig god
382 for árstafum     ús onsende
383 tó West-Denum·     þæs ic wén hæbbe·
384 wið Grendles gryre·     ic þaém gódan sceal
385 for his módþræce     mádmas béodan.
386 Béo ðú on ofeste·     hát in gáän
387 séon sibbegedriht     samod ætgædere·
388 gesaga him éac wordum     þæt híe sint wilcuman
389 Deniga léodum.'     @ @ @ @
390 @ @     Word inne ábéad:
391 'Éow hét secgan     sigedrihten mín
392 aldor Éast-Dena     þæt hé éower æþelu can
393 ond gé him syndon     ofer saéwylmas
394 heardhicgende     hider wilcuman·
395 nú gé móton gangan     in éowrum gúðgeatáwum
396 under heregríman     Hróðgár geseon·
397 laétað hildebord     hér onbidan,
398 wuduwælsceaftas,     worda geþinges.'
399 Árás þá se ríca,     ymb hine rinc manig
400 þrýðlíc þegna héap·     sume þaér bidon·
401 heaðoréaf héoldon     swá him se hearda bebéad·
402 snyredon ætsomne·     þá secg wísode
403 under Heorotes hróf·     @ @
404 heard under helme     þæt hé on héoðe gestód.
405 Béowulf maðelode     —on him byrne scán
406 searonet seowed     smiþes orþancum—:
407 'Wæs þú, Hróðgár, hál.     Ic eom Higeláces
408 maég ond magoðegn·     hæbbe ic maérða fela
409 ongunnen on geogoþe·     mé wearð Grendles þing
410 on mínre éþeltyrf     undyrne cúð:
411 secgað saélíðend     þæt þæs sele stande
412 reced sélesta     rinca gehwylcum
413 ídel ond unnyt     siððan aéfenléoht
414 under heofenes hádor     beholen weorþeð.
415 Þá mé þæt gelaérdon     léode míne
416 þá sélestan     snotere ceorlas,
417 þéoden Hróðgár,     þæt ic þé sóhte
418 for_þan híe mægenes cræft     míne cúþon·
419 selfe ofersáwon     ðá ic of searwum cwóm
420 fáh from féondum     þaér ic fífe geband·
421 ýðde eotena cyn     ond on ýðum slóg
422 niceras nihtes·     nearoþearfe dréah·
423 wræc Wedera níð     —wéan áhsodon—
424 forgrand gramum     ond nú wið Grendel sceal
425 wið þám áglaécan     ána gehégan
426 ðing wið þyrse.     Ic þé nú ðá,
427 brego Beorht-Dena,     biddan wille,
428 eodor Scyldinga,     ánre béne:
429 þæt ðú mé ne forwyrne,     wígendra hléo
430 fréowine folca,     nú ic þus feorran cóm·
431 þæt ic móte ána,     @ mínra eorla gedryht
432 ond þes hearda héap,     Heorot faélsian·
433 hæbbe ic éac ge-áhsod     þæt sé aéglaéca
434 for his wonhýdum     waépna ne recceð·
435 ic þæt þonne forhicge     —swá mé Higelác síe
436 mín mondrihten     módes blíðe—
437 þæt ic sweord bere     oþðe sídne scyld
438 geolorand tó gúþe     ac ic mid grápe sceal
439 fón wið féonde     ond ymb feorh sacan,
440 láð wið láþum·     ðaér gelýfan sceal
441 dryhtnes dóme     sé þe hine déað nimeð·
442 wén' ic þæt hé wille     gif hé wealdan mót
443 in þaém gúðsele     Géotena léode
444 etan unforhte     swá hé oft dyde,
445 mægenhréð_manna.     Ná þú mínne þearft
446 hafalan hýdan     ac hé mé habban wile
447 déore fahne     gif mec déað nimeð
448 byreð blódig wæl·     byrgean þenceð·
449 eteð ángenga     unmurnlíce·
450 mearcað mórhopu·     nó ðú ymb mínes ne þearft
451 líces feorme     leng sorgian.
452 Onsend Higeláce     gif mec hild nime
453 beaduscrúda betst     þæt míne bréost wereð,
454 hrægla sélest·     þæt is Hraédlan láf
455 Wélandes geweorc.     Gaéð á wyrd swá hío scel.'
456 Hróðgár maþelode     helm Scyldinga:
457 'Fére fyhtum, þú,     wine mín Béowulf,
458 ond for árstafum     úsic sóhtest.
459 Geslóh þín fæder     faéhðe maéste:
460 wearþ hé Heaþoláfe     tó handbonan
461 mid Wilfingum·     ðá hine gára cyn
462 for herebrógan     habban ne mihte·
463 þanon hé gesóhte     Súð-Dena folc
464 ofer ýða gewealc,     Ár-Scyldinga·
465 ðá ic furþum wéold     folce Deninga
466 ond on geogoðe héold     gimmeríce
467 hordburh hæleþa·     ðá wæs Heregár déad
468 mín yldra maég     unlifigende
469 bearn Healfdenes·     sé wæs betera ðonne ic.
470 Siððan þá faéhðe     féo þingode·
471 sende ic Wylfingum     ofer wæteres hrycg
472 ealde mádmas·     hé mé áþas swór.
473 Sorh is mé tó secganne     on sefan mínum
474 gumena aéngum     hwæt mé Grendel hafað
475 hýnðo on Heorote     mid his heteþancum
476 faérníða gefremed·     is mín fletwerod
477 wíghéap gewanod·     híe wyrd forswéop
478 on Grendles gryre·     god éaþe mæg
479 þone dolsceaðan     daéda getwaéfan.
480 Ful oft gebéotedon     béore druncne
481 ofer ealowaége     óretmecgas
482 þæt híe in béorsele     bídan woldon
483 Grendles gúþe     mid gryrum ecga.
484 Ðonne wæs þéos medoheal     on morgentíd
485 drihtsele dréorfáh     þonne dæg lixte,
486 eal bencþelu     blóde bestýmed
487 heall heoru-dréore·     áhte ic holdra þý laés,
488 déorre duguðe     þé þá déað fornam.
489 Site nú tó symle     ond onsaél meoto
490 sigehréð secgum     swá þín sefa hwette.'
491 Þá wæs Géatmæcgum     geador ætsomne
492 on béorsele     benc gerýmed
493 þaér swíðferhþe     sittan éodon
494 þrýðum dealle     þegn nytte behéold
495 sé þe on handa bær     hroden ealowaége
496 scencte scír wered·     scop hwílum sang
497 hádor on Heorote·     þaér wæs hæleða dréam,
498 duguð unlýtel     Dena ond Wedera.
499 Hunferð maþelode     Ecgláfes bearn
500 þe æt fótum sæt     fréan Scyldinga·
501 onband beadurúne     —wæs him Béowulfes síð
502 módges merefaran     micel æfþunca
503 forþon þe hé ne úþe     þæt aénig óðer man
504 aéfre maérða þon má     middangeardes
505 gehédde under heofenum     þonne hé sylfa—:
506 'Eart þú sé Béowulf     sé þe wið Brecan wunne
507 on sídne saé     ymb sund flite?
508 Ðaér git for wlence     wada cunnedon
509 ond for dolgilpe     on déop wæter
510 aldrum néþdon     né inc aénig mon
511 né léof né láð     beléan mihte
512 sorhfullne síð     þa git on sund réön·
513 þaér git éagorstréam     earmum þehton·
514 maéton merestraéta     mundum brugdon·
515 glidon ofer gársecg·     geofon ýþum
516 wéol @ wintrys wylm·     git on wæteres aéht
517 seofon niht swuncon·     hé þé æt sunde oferflát·
518 hæfde máre mægen.     Þá hine on morgentíd
519 on Heaþo-Raémes     holm up ætbær·
520 ðonon hé gesóhte     swaésne éðel,
521 léof his léodum,     lond Brondinga
522 freoðoburh fægere     þaér hé folc áhte
523 burh ond béagas·     béot eal wið þé
524 sunu Béanstánes     sóðe gelaéste.
525 Ðonne wéne ic tó þé     wyrsan geþingea
526 ðéah þú heaðoraésa     gehwaér dohte
527 grimre gúðe     gif þú Grendles dearst
528 nihtlongne fyrst     néän bídan.'
529 Béowulf maþelode     bearn Ecgþéowes:
530 'Hwæt, þú worn fela,     wine mín Hunferð,
531 béore druncen     ymb Brecan spraéce·
532 sægdest from his síðe.     Sóð ic talige
533 þæt ic merestrengo     máran áhte
534 earfeþo on ýþum     ðonne aénig óþer man·
535 wit þæt gecwaédon     cnihtwesende
536 ond gebéotedon     —waéron bégen þá git
537 on geogoðféore—     þæt wit on gársecg út
538 aldrum néðdon     ond þæt geæfndon swá.
539 Hæfdon swurd nacod     þá wit on sund réön
540 heard on handa:     wit unc wið hronfixas
541 werian þóhton·     nó hé wiht fram mé
542 flódýþum feor     fléotan meahte
543 hraþor on holme·     nó ic fram him wolde·
544 ðá wit ætsomne     on saé waéron
545 fíf nihta fyrst     oþ_þæt unc flód tódráf
546 wado weallende     wedera cealdost
547 nípende niht     ond norþanwind
548 heaðogrim ondhwearf·     hréo waéron ýþa·
549 wæs merefixa     mód onhréred·
550 þaér mé wið láðum     lícsyrce mín
551 heard hondlocen     helpe gefremede·
552 beadohrægl bróden     on bréostum læg
553 golde gegyrwed·     mé tó grunde téah
554 fáh féondscaða·     fæste hæfde
555 grim on grápe·     hwæþre mé gyfeþe wearð
556 þæt ic áglaécan     orde geraéhte
557 hildebille·     heaþoraés fornam
558 mihtig meredéor     þurh míne hand.
559 Swá mec gelóme     láðgetéonan
560 þréatedon þearle·     ic him þénode
561 déoran sweorde     swá hit gedéfe wæs·
562 næs híe ðaére fylle     geféan hæfdon
563 mánfordaédlan     þæt híe mé þégon·
564 symbel ymbsaéton     saégrunde néah
565 ac on mergenne     mécum wunde
566 be ýðláfe     uppe laégon
567 sweordum áswefede     þæt syðþan ná
568 ymb brontne ford     brimlíðende
569 láde ne letton.     Léoht éastan cóm
570 beorht béacen godes·     brimu swaþredon
571 þæt ic saénæssas     geséon mihte
572 windige weallas.     Wyrd oft nereð
573 unfaégne eorl     þonne his ellen déah.
574 Hwæþere mé gesaélde     þæt ic mid sweorde ofslóh
575 niceras nigene·     nó ic on niht gefrægn
576 under heofones hwealf     heardran feohtan
577 né on égstréamum     earmran mannon·
578 hwaþere ic fára feng     féore gedígde
579 siþes wérig·     ðá mec saé oþbær
580 flód æfter faroðe     on Finna land
581 wudu weallendu.     Nó ic wiht fram þé
582 swylcra searoníða     secgan hýrde
583 billa brógan·     Breca naéfre gít
584 æt heaðoláce     né gehwæþer incer
585 swá déorlíce     daéd gefremede
586 fágum sweordum     —nó ic þæs @ gylpe—
587 þéah ðú þínum bróðrum     tó banan wurde
588 héafodmaégum·     þæs þú in helle scealt
589 werhðo dreogan     þéah þín wit duge·
590 secge ic þé to sóðe,     sunu Ecgláfes,
591 þæt naéfre Grendel swá fela     gryra gefremede
592 atol aéglaéca     ealdre þínum,
593 hýnðo on Heorote     gif þín hige waére
594 sefa swá searogrim     swá þú self talast
595 ac hé hafað onfunden     þæt hé þá faéhðe ne þearf
596 atole ecgþræce     éower léode
597 swíðe onsittan     Sige-Scyldinga·
598 nymeð nýdbáde·     naénegum árað
599 léode Deniga     ac hé lust wigeð·
600 swefeð ond sendeþ·     secce ne wéneþ
601 tó Gár-Denum.     Ac ic him Géata sceal
602 eafoð ond ellen     ungeára nú
603 gúþe gebéodan·     gaéþ eft, sé þe mót
604 tó medo módig     siþþan morgenléoht
605 ofer ylda bearn     óþres dógores
606 sunne sweglwered     súþan scíneð.'
607 Þá wæs on sálum     sinces brytta
608 gamolfeax ond gúðróf     géoce gelýfde
609 brego Beorht-Dena     gehýrde on Béowulfe
610 folces hyrde     fæstraédne geþóht·
611 ðaér wæs hæleþa hleahtor·     hlyn swynsode·
612 word waéron wynsume.     Éode Wealhþéow forð
613 cwén Hróðgáres     cynna gemyndig
614 grétte goldhroden     guman on healle
615 ond þá fréolíc wíf     ful gesealde
616 aérest Éast-Dena     éþelwearde·
617 bæd hine blíðne     æt þaére béorþege
618 léodum léofne·     hé on lust geþeah
619 symbel ond seleful     sigeróf kyning·
620 ymb-éode þá     ides Helminga
621 duguþe ond geogoþe     daél aéghwylcne·
622 sincfato sealde     oþ_þæt saél álamp
623 þæt hío Béowulfe,     béaghroden cwén
624 móde geþungen     medoful ætbær·
625 grétte Géata léod·     gode þancode
626 wísfæst wordum     þæs ðe hire se willa gelamp
627 þæt héo on aénigne     eorl gelýfde
628 fyrena frófre.     Hé þæt ful geþeah
629 wælréow wiga     æt Wealhþéön
630 ond þá gyddode     gúþe gefýsed·
631 Béowulf maþelode     bearn Ecgþéowes:
632 'Ic þæt hogode·     þá ic on holm gestáh·
633 saébát gesæt     mid mínra secga gedriht·
634 þaét ic ánunga     éowra léoda
635 willan geworhte     oþðe on wæl crunge
636 féondgrápum fæst·     ic gefremman sceal
637 eorlíc ellen     oþðe endedæg
638 on þisse meoduhealle     mínne gebídan.'
639 Ðám wífe þá word     wél lícodon
640 gilpcwide Géates·     éode goldhroden
