á|always, ever, forever
beorg, beorh|hill, cliff, elevated shore
beorgan|preserve, save, protect
ge-beorgan|protect
beorh|see beorg.
beorht|bright, shining
Beorht-Dene|see Dene.
beorhte|brightly
beorhtian|sound clearly/loudly
beorn|see byrnan.
beorn|man, hero, warrior
beorn-cyning|hero-king
béor-scealc|beer-drinker, feaster
béor-sele|beer-hall, banquet/feast-hall
béor-þegu|(beer-taking), beer-drinking
béot|boast, promise
ge-béotian|boast, vow
béot-word|vow, boast, word of boasting
Béow(ulf)|Danish king, son of Scyld
Béowulf|the hero of the poem: Geatish warrior (and later king), son of Ecgþéow & kinsman of Hygelác
beran|bear, carry, wear, bring
ge-beran|bear (child)
be-réafian|bereave, despoil, deprive
be-réofan|deprive
berian|bare, clear, clear away
berstan|break, burst(intr.)
be-scúfan|shove, thrust
be-settan|set about, adorn
be-sittan|besiege
be-smiþian|fasten
be-snyððan|desprive
be-stýman|wet
be-swaélen|scorch, burn
be-syrwan|ensnare, entrap, trick
ge-bétan|improve, remedy, cure, amend, repair, compensate, atone
be-timbran|build, construct
bet-líc|excellent, splendid
be-wægnan|offer
be-wennan|attend to, entertain
be-weotian|see be-witian.
be-werian|protect, defend against
be-windan|wind about, grasp, bind, enclose, encircle, mingle
be-witian|watch, observe, attend to, watch over
be-wyrcan|build around, surround
bí|see be.
bicgan|see bycgan.
bid|abiding, halt
bídan|bide, wait, stay, remain, dwell
ge-bídan|await
biddan|ask, request, entreat, bid
bi-fón|see be-fón.
big|see be.
bi-gong|see be-gong.
bil(l)|sword
bindan|bind, join
ge-bindan|bind
bi-néotan|see be-néotan.
bío(ð)|see béon.
bíodan|see béodan.
bíor-|see béor-.
biorh|see beorg.
biorn(-)|see beorn(-).
bis(i)gu|see bysigu.
bítan|cut, bite
bite,|bite, cut
biter|sharp
bitre|bitterly, sorely
bið|see eom.
bi-wennan|see be-wennan.
blác|shining, brilliant
blanca|horse
blæc|black, dark
blaéd|power, vigour of life
blaéd-ágande|prosperous, glorious
blaéd-fæst|glorious
bléate|wretchedly, pitiably
blícan|shine, gleam
blíðe|joyful, blithe
blíð-heort|blithe of heart, cheerful
blód|blood
blód(e)gian|make bloody
blód-fág|blood-stained
blódig|bloody, blood-covered
blódig-tóð|with bloody (tooth) teeth
blód-réow|blood-thirsty
blonden-feax|(having mixed hair, i.e.) grey-haired
bodian|announce
bolca|gangway of a ship
bold|building, house, hall
bold-ágend(e)|house-owner, house-owning
bolgen-mód|enraged
bolster|bolster, cushion, pillow
bona|see bana.
bon-gár|deadly spear
bord|board, shield
bord-hæbbend(e)|(board-having), shield-bearer
bord-hréoða|shield-covering, shield
bord-rand|shield
bord-weal(l)|'shield-wall', (protective) shield
bord-wudu|shield
born|see byrnan.
bót|relief, remedy
botm|bottom
brád|broad, wide, spacious
ge-bræc|crashing
Breca|chief of the Brondingas
brecan|break
ge-brecan|break, crush, destroy
brecð|breaking, grief
bregdan|move quickly (trans.), draw, swing, fling
ge-bregdan|draw (sword)
brego|chief, lord
brego-róf|very valiant, famous
bredo-stól|princely seat, throne, principality
bréme|famous, renowned
brenting|ship
bréost|breast
bréost-gehygd|thought of the heart
bréost-gewaéde|breast-garment, coat of mail
bréost-hord|(breast-hoard), breast|heart
bréost-net(t)|breast-net, mail-coat
bréost-weorðung|breast-ornament
bréost-wylm|(breast-welling), emotion
bréotan|(break), cut down, kill
brim|sea, water (of sea, lake)
brim-clif|sea-cliff
brim-léad|sea-passage, voyage
brim-líðend(e)|seafarer
brim-stréam|sea-stream, ocean-current, sea
brim-wísa|sea-leader, sea-king
brim-wylf|she-wolf of the sea/lake (i.e., Grendel's Mother)
brim-wylm|surge (wealling) of the sea/lake
bringan|bring
ge-bringan|bring
bróden|see bregdan.
bróden-maél|see brogden-maél.
bróga|terror, horror
brogden-maél|(ornamented with a wavy pattern, i.e.) damascened/pattern-welded sword
brond|burning, fire, (brand)
Brondingas|Scandinavian tribal name (unidentified)
bront|steep, high
brosnian|decay, corrupt, rot, fall to pieces
bróðor|brother
ge-bróðor|brothers
brúcan|make use of, enjoy
brún|bright
brún-ecg|with a bright (burnished
brún-fág|of a brown colour, shining
brýd|bride
brýd-búr|woman's apartment(/bower)
bryne-léoma|gleam of fire
bryne-wylm|surge/wealling of fire
brytnian|deal out, dispense, distribute
brytta|distributor, dispenser
bryttian|distribute, dispense
búan|dwell
ge-búan|(ingressive) take possession of, settle in
bufolc|neighbouring people
búgan|bow (intr.)
ge-búgan|bow (intr.)
bunden-heord|with hair bound up or, possibly, cruelly bound (bunden-heard)
bunden-stefna|ship with bound prow
bune|cup, drinking vessel
búr|chamber, apartment, dwelling
burh|fortified place, castle, palace, stronghold
burh-loca|walled town
burh-stede|castle court, courtyard
burh-wela|wealth of a castle/town
buruh-ðelu|castle-floor
burne|stream
búton|but
bycgan|buy, pay for
ge-bycgan|buy, pay for, obtain
byldan|encourage, cheer
býme|trumpet
ge-byrd|fate
byrdu-scrúd|'birth-garment (shroud)'
byre|son
byrele|cupbearer
byreð|see beran.
byrgan|taste, eat
byrht|see beorht.
byrig|see burh.
byrnan|burn
ge-byrnan|burn (intr.), be consumed
byrne|mail-coat, ring-mail/chain-mail armour, byrnie
byrn-wiga|mailed warrior
bysigu|affliction, distress, trouble, care
byð|see eom.
býwan|polish, adorn, prepare
Cáin|biblical person: first son of Adam & Eve, brother (and slayer) of Ábel
camp|battle, fight, strife, contention
can|see cunnan.
candel|candle, light
caru|see cearu.
ceald|cold
céap|purchase, bargain
(ge-)céapian|trade, purchase
cearian|care, be anxious
cearig|full of care, grieving, sorrowful
cear-sið|expedition that brings sorrow (care)
cearu|care, sorrow, grief
cear-wælm, -wylm, |(care-welling), seething of sorrow
ceaster-búend|town-dweller, castle-dweller
cempa|champion, warrior
céne|bold, brave, (keen)
cennan|declare, show
cennan|bring forth, bear (child)
cénðu|boldness
céol|ship
ceorl|man, fellow, bloke, chap (originally, freeman)
céosan, cíosan|choose, taste, try
ge-céosan|choose, obtain
clam(m), clom(m)|clasp, grip, grasp
clif|cliff
ge-cnáwan|recognise
cniht-wesende|being a boy
cnyht|boy
cnyssan|dash against, strike, smite, crash (together)
cól|cool
collen-ferhð|bold of spirit, excited
con, const|see cunnan.
corðer|troop, band, host
costian|try, make trial of
ge-cranc|see ge-cringan.
cræft|strength, power
cræftig|strong, powerful
cringan|fall (in battle), die
ge-cringan|fall (in battle), die
cuma|comer, visitor
cuman|come
cumbol|banner, standard
cunnan|know
cunnian|try, make trial of, tempt, explore
cure|see céosan.
cúð|known, well-known
cúð-líce|openly, familiarly
cwealm|death, killing
cwealm-bealu|death-evil (-bale), death
cwealm-cuma|murderous visitor
cweccan|shake, brandish
cwellan|kill
cwén|wife (of a king)
cwén-líc|queenly
cweðan|speak, say, quoth
ge-cweðan|say
cwic(o)|living alive
cwíðan|bewail, lament, mourn for
cyme,|comimg
cymen|see cuman.
cým-líce|beautifully, splendidly, nobly
cyn(n)|race, people, family
cyn(n)|proper proceeding, etiquette, courtesy, custom
ge-cynde|innate, natural, inherited
cyne-dóm|royal power
cyning|king
cyning-bald|'royally brave', very brave, kingly bold
kyning-wuldor|the glory of kings
ge-cýpan|buy
ge-cyssan|kiss
cyst|choice
cýðan|make known, show
ge-cýðan|make known, announce
dagian|dawn
ge-dál|separation, parting
daroð|javelin
daéd|deed, action, doing
daéd-céne|daring (keen) in deeds
daéd-fruma|doer of deeds
daéd-hata|one who shows his hatred by deeds, persecutor, ravager
dæg|day
Dæg-hrefn|a warrior of the Húgas (Frisians), possibly the slayer of Hygelác
dæg-hwíl|day-while
dæg-rím|number of days
daél,|part, portion, share, measure, a (great) deal
daélan|deal (out), distribute, dispense
ge-daélan|distribute
déad|dead
ge-déaf|see ge-dúfan.
déagan|conceal (be concealed?)
déah|see dugan.
deal(l)|proud, famous
dear, dearst|see durran.
déað|death
déað-bed(d)|death-bed
déað-cwalu|death by violence, death-throe
déað-cwealm|death-slaughter
déað-dæg|death-day
déað-faége|doomed to death, dead
déað-scua|death-shadow
déað-wérig|(weary to death)
déað-wíc|death-place
ge-défe|fitting, seemly
déman|judge
démend|judge
den|den, lair
Dene|Danes (national and geographical designation)
déofol|devil, demon
déog|see déagan.
déogol|secret, hidden, mysterious
déop|deep
déop|deep
déope|deeply, solemnly
déor|brave, bold, fierce
deorc|dark
déore|dear, precious, excellent, beloved
déor-líc|bold
déor-mód|bold, brave
déoð|see déað.
déð|see dón.
ge-dígan|pass through safely, survive, endure
díope|see déope.
díor|see déor.
díore|see déore.
disc|dish, plate
dógor|day
dógor-gerím|number of days
dohte(st)|see dugan.
dohtor|daughter
dol-gilp|foolish/audacious boasting, foolhardiness
dol-líc|foolhardy, audacious, daring
dol-sceaða|mad ravager, desperate foe
dóm|(doom), judgment, decree, authority
dóm-léas|inglorious, honourless
dón|do, act
ge-dón|make, render
dorste|see durran.
draca|dragon
ge-dræg|bearing, concourse, (noisy) company
dréam|joy, bliss, rejoicing, mirth
dréam-healdende|joyful, blessed
dréam-léas|joyless
dréfan|stir up, excite, make turbid
dréogan|act, bear oneself
dréoh-fáh|stained with gore/blood
dréorig|bloody, gory
ge-dréosan|fall, decline
drepan|(IV), strike, hit
drepe|blow, stroke
drífan|drive
driht-|see dryht-.
drihten|see dryhten.
driht-gesíð|retainer, comrade
drincan|drink
drinc-fæt|see drync-fæt.
dríorig|see dréorig.
drohtoð|way of life, course
dropen|see drepan.
drúsian|grow still
ge-dryht, -driht,|troop, army
dryht-bearn|noble child
dryhten|lord (retainers' chief), prince
dryht-guma|retainer, warrior, man
dryht-líc|noble, lordly, splendid
dryht-máðum|noble treasure, splendid jewel
dryht-scype|valour, bravery
dryht-sele|princely hall (originally, retainers' hall)
dryht-sib(b)|peace, alliance
drync-fæt|drinking-vessel, cup
drysmian|become gloomy, become obscure
ge-dúfan|plunge in, sink in, dive [fr. deriv. dýfan] (in)
dugan|avail, be good, be strong, be capable of
duguð|body of (noble/tried) retainers, host
durran|dare
duru|door
dwellan|mislead, hinder, stand in one's way
dyde, dydon|see dón.
ge-dýgan|see ge-dígan.
dýgel|see déogol.
dyhtig|strong, good
dynnan|resound
dýre|see déore.
dyrne|secret, hidden
dyrre|see durran.
dyrstig|daring, bold
éac|also, moreover
éacen|large, mighty
éacen-cræftig|exceedingly powerful, huge
Éad-gils|Swedish prince, son of Óhthere
éadig|prosperous, happy, blessed
éadig-líce|happily
eafor|see eofor.
Eafor|see Eofor.
eafora, eafera, |offspring, son, posterity, child, successor
eafoð|strength, might, power
éage|eye
éagor-stréam|sea-stream, sea
Éaha|a (Half-)Danish warrior
eahta|eight
eahtian|consider, deliberate (about something)
eal(l)|& subst., all
eald|old
ealder-|see ealdor-dagas.
eald-fæder|father, ancestor
eald-gesegen|old tradition (saga)
eald-gesíð|old comrade/retainer
eald-gestréon|ancient treasure
eald-gewinna|old adversary ('hostis antiquus')
eald-gewyrht|result of former deeds
eald-hláford|old(perhaps 'dear' or 'rightful') lord
eald-metod|god of old
ealdor, aldor|chief, lord, prince, (elder)
ealdor, aldor|life
(e)aldor-bealu|injury to life, death
(e)aldor-cearu|life-care, great sorrow
(e)aldor-dagas|days of life
(e)aldor-gedál|separation from life, death
ealdor-gewinna|life-enemy, deadly enemy
(e)aldor-léas|lord-less, lacking a king
ealdor-léas|lifeless, dead
(e)aldor-þegn|chief thane
eald-sweord|ancient/old sword
eal-fela|very much, a great many
eal(l)-gearo|quite ready
ealgian|protect, defend
eal(l)-gylden|all-golden
eall-íren|all of iron
ealo-, ealu-benc, |ale-bench
ealo-drincend(e)|ale-drinker
éa-lond|water-land, sea-board
ealo-, ealu-waége|ale-cup/flagon
ealu-scerwen|(dispensing of ale i.e.) bitter anguish/distress/terror
éam|(maternal) uncle
Éan-mund|Swedish prince, son of Óhthere
eard|land, estate, region, dwelling, home
eardian|dwell, remain
eard-lufu|(home-love), dear home
earfoþe|hardship, hard struggle
earfoð-líce|with difficulty, painfully, sorrowfully
earfoð-þrág|(time of tribulation), distress
earg|cowardly, spiritless, craven
earm|arm
earm|wretched, distressed, forlorn, pitiful, poor
earme|wretchedly
earm-béag|arm-ring, bracelet
earm-[h]réad|arm-ornament
earm-líc|miserable, pitiable, wretched
earm-sceapen|wretched, miserable
earn|eagle
Earna-næs|a promontory in the land of the Geats, near the scene of the dragon fight
eart|see eom.
éastan|from the east
Éast-Dene|see Dene.
eatol|see atol.
éaðe|easy, pleasant
éaðe|easily
éað-fynde|easy to find
(ge-)éawan|see (ge-)ýwan.
eaxl|shoulder
eaxl-gestealla|shoulder-companion, comrade
éc|see éac.
éce|perpetual, eternal, everlasting
ecg|edge, sword
ecg-bana|slayer with the sword
ecg-clif|sea-cliff (=ég-clif), or cliff with an edge or brink, steep cliff
ecg-hete|sword-hate, hostility, war
Ecg-láf|a Dane, father of Unferð
Ecg-þéow|father of Béowulf
ecg-þracu|sword-storm
Ecg-wela|(unknown) Danish king
éd(e)r|see aéd(e)r.
ed-hwyrft,|return, change, reverse
ed-wenden|turning back, reversal, change
ed-wít-líf|life of dishonour/disgrace
efn|in on
efnan|see æfnan.
efne|even, just
eftstan|hasten (intr.)
eft|afterwards, back, again
eft-cyme|return
eft-síð|journey back, return
egesa|terror, fear, horror
eges-full|terrible
eges-líc|terrible
egl|spike, talon
egsian|terrify
ég-stréam|water-stream, pl. sea
éhtan|pursue, persecute
ehti(g)an|see eahtian.
elde, eldo|see ylde, yldo.
el-land|foreign country
ellen|courage, valour, strength, zeal
ellen-daéd|deed of valour
ellen-gaést|powerful or bold spirit/demon
ellen-líce|valiantly, boldly
ellen-maérþu|fame for courage
ellen-róf|famed for courage/valour, brave, strong
ellen-síoc|(strength-sick), deprived of strength, mortally wounded
ellen-weorc|work of valour, courageous deed
elles|else, otherwise
ellor|elsewhere, death
ellor-gást|alien spirit
ellor-síð|journey elsewhere, death
elne(s)|see ellen.
elra|another
el-þéodig|foreign, strange
ende|end
ende-dæg|last day, death
ende-dógor|last day, death
ende-láf|last remnant
ende-léan|final reward or retribution
ende-saéta|one stationed at the (end) extremity of a territory (i.e. coast-guard)
ende-stæf|end, conclusion
(ge-)endian|end
enge|narrow, close, constrained
ent,|giant
entisc|made by giants
(ge)-éode|see (ge-)gán. [Go. iddja]
eodor|enclosure, precinct
eofer, eofor|boar
Eofor|a Geat, son of Wonréd, brother of Wulf, slayer of Ongenþéow
eofer-spréot|boar-spear
eofor-líc|boarlike (thing)
eofoð|see eafoð.
eolet|sea? voyage?
eom|am, is, are
eorclan-stán|precious stone, jewel, gem
éored-geatwe|warlike equipments
eorl|nobleman, (earl)
eorl-gestréon|(noblemen's) treasure, riches
eorl-gewaéde|dress of a warrior, armour
eorlíc|manly, heroic, noble
eorl-scipe|nobility, rank
eorl-weorod|band of warriors
eormen-cyn(n)|mankind
eormen-grund|spacious (ground) earth
eormen-láf|immense legacy
Eormen-ríc|king of the East Goths
eorre|see yrre.
eorð-búend(e)|(earth-dweller), man, native
eorð-cyning|king of the land
eorð-draca|earth-dragon
eorðe|earth i.e., both ground and the world we live in
eorð-reced|earth-house
eorð-scræf|earth-cavern, cave
eorð-sele|earth-hall
eorð-weal(l) |earth-wall, mound
Éotan|'Jutes'
eoten|giant, ettin/eten
eotenisc|made by giants, giantish
eoton-weard|watch against giants
éow|see þú.
éowan|see ýwan.
éower|your
éower|see þú.
ést|favour, good will, boon
éste|kind, gracious
etan|eat
etonisc|see eotenisc.
éð-begéte|easy to obtain (get)
éðe|see éaðe.
éþel|native land, home
éðel-riht|ancestral right, priviliges belonding to a hereditary estate, ancestral domain
éþel-stól|native seat, ancestral throne
éþel-weard|guardian of the native land, king
éðel-wyn(n)|enjoyment of hereditary estate, delight of/for home
éþ-gesýne|easily visible (with the connotation of 'in abundance')
fácen|deceit, malice, crime
fácen-stafas|(baleful runes), treachery letters(?), treachery
fág, fáh|patterned, coloured
fáh, fág|hostile, (foe)
fámig-heals|foamy-necked
(ge-)fandian|search out, test, tamper with
fáne, fára|see fáh.
faran|go, proceed, fare
ge-faran|proceed, act
faroð|current, sea
fæc|space of time
fæder|father
fæder-æþelu|paternal rank/excellence
fæderen-maég|paternal relative, kinsman on the father's side
ge-fæg|satisfactory, pleasing, dear
faége|doomed to die, fated, near death
fægen|glad, rejoicing
fæger, faéger|fair, beautiful
fæg(e)re, faég(e)re|fairly, pleasantly, fittingly, courteously
ge-faégon|see ge-féon.
fægrian|become fair, make beautiful
faéhð(o)|feud, enmity, hostile act, battle
faélsian|cleanse, purge
faémne|maiden, woman
fær|vessel, ship
faér|sudden attack, danger, disaster
faér-gripe|sudden grip or attack
faér-gryre|(terror caused by) sudden attack, awful horror
faéringa|suddenly
faér-níð|hostile attack, sudden affliction
fæst|fast, firm, fixed
fæste|fast, firmly
fæsten|fastness, stronghold
fæst-raéd|firmly resolved
fæt|vessel, cup
faét|(gold) plate
faéted|ornamented, (gold-)plated
faéted-hléor|with ornamented cheeks, i.e., with gold-plated headgear (or bridle)
faét-gold|plated gold
faéttan, faétte|see faéted.
faéttum|see faét.
fæðer-gearwe|feather-gear
fæþm|(outstretched) arms
fæðmian|embrace, enfold
féa|few, a few
féa|see feoh.
ge-féa|joy
ge-feah|see ge-féon.
fealh, ge-fealg|see (ge-)féolan.
feallan|fall
ge-feallan|fall
fealo|see fela.
fealu|fallow
féa-sceaft|destitute, poor, wretched
feax|hair of the head (collect.)
ge-fégon|see ge-féon.
féhð|see fón.
fél|file
fela|nearly always
fela-fricgende|well-informed, wise
fela-geómor|very sad, solemn
fela-hrór|very vigorous, strong
fela-módig|very brave
fela-sinnig|very sinful, very guilty
fel(l)|skin, fell
fen(n)|fen, marshy region
fen-freoðo|fen-refuge
feng,|grasp, grip
(ge-)féng|see (ge-)fón.
fengel|prince, king
fen-gelád|difficult passage/path across water liable to be rendered impassable by flooding in a fen
fen-hlið|?-fen-slope, marshy tract
fen-hop|remote or secret place/enclosure in a fen
féo|see feoh.
feoh|property, money, riches
feoh-gift|dispensing of treasure
feoh-léas|(money-less i.e.) not to be atoned for with money, inexpiable
ge-feoht|fight
feohtan|fight
ge-feohtan|fight
feohte|fight
féolan|penetrate, reach
ge-féon|rejoice
féond|enemy, fiend, foe
féond-gráp|enemy's grip or clutch
féond-scaða|enemy, hostile criminal
féond-scipe,|enmity, hostility
feor(r)|far
feor-búend|far dweller
feor-cýþð(u)|far country
feorh|life
feorh-bealu|(life-bale), deadly evil
feorh-ben(n)|life-wound, mortal wound
feorh-bona|(life-)slayer
feorh-cyn(n)|(life-race), race of men
feorh-geníðla|life-enemy, deadly foe
feorh-lást|(life-track, i.e.) track of vanishing life, bloody trail
feorh-legu|(allotted) life
feorh-séoc|(life-sick), mortally wounded
feorh-sweng|life-blow, deadly swing
feorh-wund|life-wound, mortal wound
feorm|feeding, sustenance, entertaining, taking care of
feormend-léas|without a burnisher/cleanser/polisher
(ge-)feormian|consume, eat up
feormynd|cleanser, polisher, burnisher
feorran|remove
feorran|from afar
feorran-cund|of a far country
feor-weg|far way, (pl.:) distant parts
féower|four
féower-týne|fourteen
féran|(go to), reach, attain, bring about, (fare)
fére|able to go, fit (for military service)
fergend|leader
